,author,url,date,rating,review
3235,Egi,https://www.imdb.com/review/rw6176652/?ref_=tt_urv,14 October 2020,5,A paradox of a paradox...
3236,rroncevic,https://www.imdb.com/review/rw6456633/?ref_=tt_urv,9 January 2021,10,"WTF?! So strange, but in a good way."
3237,abuffyfan,https://www.imdb.com/review/rw6074313/?ref_=tt_urv,8 September 2020,3,Pretentious nonsense
3238,Megan_Shida,https://www.imdb.com/review/rw6483605/?ref_=tt_urv,16 January 2021,7,"Stylish, Beautiful Action. Overly Complicated Plot."
3239,AndreaWeaver1,https://www.imdb.com/review/rw7829924/?ref_=tt_urv,3 February 2022,6,A Confusing Spectacle
3240,visionandyouth,https://www.imdb.com/review/rw6350719/?ref_=tt_urv,9 December 2020,10,Tenet Reigns Supreme
3241,nathan-wiens,https://www.imdb.com/review/rw6030460/?ref_=tt_urv,27 August 2020,10,A masterpiece that requires two viewings
3242,torbenmunzel,https://www.imdb.com/review/rw6259474/?ref_=tt_urv,11 November 2020,,The (Probably) Best Movie of 2020
3243,mrmemory-621-344572,https://www.imdb.com/review/rw6324510/?ref_=tt_urv,30 November 2020,5,Far to complicating
3244,bratislava,https://www.imdb.com/review/rw6582502/?ref_=tt_urv,10 February 2021,5,Overly complicated
3245,sclarke-22895,https://www.imdb.com/review/rw6062437/?ref_=tt_urv,4 September 2020,9,"A film that requires multiple viewings, and an understanding"
3246,ayushparasar,https://www.imdb.com/review/rw6776326/?ref_=tt_urv,3 April 2021,8,An acquired taste
3247,brokenarrow_131,https://www.imdb.com/review/rw6806993/?ref_=tt_urv,12 April 2021,5,naloN rehpotsirhC yb mlif tsroW (Worst film by Christopher Nolan)
3248,Stefan_Loves_Movies,https://www.imdb.com/review/rw7914347/?ref_=tt_urv,3 March 2022,7,FRUSTRATING!...
3249,bethlori,https://www.imdb.com/review/rw6826514/?ref_=tt_urv,18 April 2021,7,C. Nolan's most confusing movie yet!!!
3250,antivirus-imdb,https://www.imdb.com/review/rw6142101/?ref_=tt_urv,2 October 2020,8,Good one!
3251,Naoufel_Boucetta,https://www.imdb.com/review/rw6347203/?ref_=tt_urv,8 December 2020,7,Not Nolan's best but still holds his unique directorial style
3252,ethlaid,https://www.imdb.com/review/rw6893828/?ref_=tt_urv,8 May 2021,7,Complicated and Complex
3253,IsThatJoseph21,https://www.imdb.com/review/rw6048904/?ref_=tt_urv,31 August 2020,7,A movie that requires subtitles
3254,snelson-87643,https://www.imdb.com/review/rw7061221/?ref_=tt_urv,25 June 2021,1,Worst movie ever made
3255,dougal79,https://www.imdb.com/review/rw6035755/?ref_=tt_urv,28 August 2020,9,Confusingly dazzling
3256,Chrimle,https://www.imdb.com/review/rw6116302/?ref_=tt_urv,22 September 2020,7,Quarantined protagonist
3257,tux-12,https://www.imdb.com/review/rw6323921/?ref_=tt_urv,30 November 2020,2,Just plain awful
3258,mattandsharon,https://www.imdb.com/review/rw6029703/?ref_=tt_urv,26 August 2020,3,My brain hurts
3259,boyvuive158,https://www.imdb.com/review/rw6077456/?ref_=tt_urv,9 September 2020,10,I'm really happy that i was born in time with Nolan
3260,trietsch-95508,https://www.imdb.com/review/rw6118616/?ref_=tt_urv,23 September 2020,6,Good plot but bad soundtrack
3261,jshukaliak,https://www.imdb.com/review/rw6363609/?ref_=tt_urv,13 December 2020,1,So much unnecessary noise
3262,leefreeman99,https://www.imdb.com/review/rw6439879/?ref_=tt_urv,3 January 2021,9,Stunning
3263,hamkohamo,https://www.imdb.com/review/rw7642050/?ref_=tt_urv,13 December 2021,10,Hamko Hamo
3264,yazanhd,https://www.imdb.com/review/rw6334114/?ref_=tt_urv,3 December 2020,1,Too complicated
3265,carstenlilge,https://www.imdb.com/review/rw6089319/?ref_=tt_urv,12 September 2020,1,A movie that needs to be watched twice is simply bad
3266,saki_agio,https://www.imdb.com/review/rw6354732/?ref_=tt_urv,11 December 2020,3,Pretentious and without any feeling
3267,sme3,https://www.imdb.com/review/rw6691230/?ref_=tt_urv,13 March 2021,8,Excellent Nonsense
3268,thijs-hoebers-641-332432,https://www.imdb.com/review/rw6075210/?ref_=tt_urv,8 September 2020,1,Nolan's first major flaw
3269,igl-55560,https://www.imdb.com/review/rw6383228/?ref_=tt_urv,20 December 2020,8,Well... pff
3270,Drawmort,https://www.imdb.com/review/rw7094931/?ref_=tt_urv,5 July 2021,8,Nolan did it again!
3271,mtntthomas,https://www.imdb.com/review/rw6571365/?ref_=tt_urv,7 February 2021,1,"Only thing good about it, is its in colour"
3272,Nick_Milligan,https://www.imdb.com/review/rw6223715/?ref_=tt_urv,1 November 2020,7,"7 stars for the staging, but Nolan has jumped the shark..."
3273,lordbrianturbo,https://www.imdb.com/review/rw6029059/?ref_=tt_urv,26 August 2020,4,Rewind special effects
3274,pdc15725,https://www.imdb.com/review/rw8384692/?ref_=tt_urv,30 July 2022,4,No one talks like this
3275,rbnlrk,https://www.imdb.com/review/rw8249385/?ref_=tt_urv,18 June 2022,10,Back in time
3276,awaydayfootball,https://www.imdb.com/review/rw6904350/?ref_=tt_urv,11 May 2021,5,Nice looking movie but what the hell was going on?!
3277,tim-stjames,https://www.imdb.com/review/rw8235014/?ref_=tt_urv,13 June 2022,9,This isn't one of Nolan's most satisfying films
3278,nihilist86,https://www.imdb.com/review/rw6429519/?ref_=tt_urv,1 January 2021,1,I'm drowning in dialogue...
3279,jackbanister16,https://www.imdb.com/review/rw6474503/?ref_=tt_urv,14 January 2021,6,Huh?
3280,nevada-689-627700,https://www.imdb.com/review/rw6064123/?ref_=tt_urv,5 September 2020,1,Headache of a movie
3281,jordenrez,https://www.imdb.com/review/rw6137512/?ref_=tt_urv,30 September 2020,10,Truly amazing
3282,michael-02569,https://www.imdb.com/review/rw6394292/?ref_=tt_urv,24 December 2020,4,"Turns from boring to interesting, but to late."
3283,saeedoz-s-g,https://www.imdb.com/review/rw6212133/?ref_=tt_urv,28 October 2020,1,Nolan??
3284,wlee08,https://www.imdb.com/review/rw8401964/?ref_=tt_urv,5 August 2022,6,"Excels in technical filmaking, drags in storyline"
3285,wiseclown91,https://www.imdb.com/review/rw6102319/?ref_=tt_urv,17 September 2020,8,Does it live up to the hype?
3286,mariocordova,https://www.imdb.com/review/rw6564513/?ref_=tt_urv,5 February 2021,3,Absurd
3287,dariamar-86555,https://www.imdb.com/review/rw7381219/?ref_=tt_urv,26 September 2021,2,Made me feel dumb
3288,milosdad,https://www.imdb.com/review/rw6396555/?ref_=tt_urv,25 December 2020,5,Too convoluted.
3289,liamshirazi,https://www.imdb.com/review/rw6970303/?ref_=tt_urv,27 May 2021,10,Awesome science fiction
3290,gallagherjosh,https://www.imdb.com/review/rw6371880/?ref_=tt_urv,16 December 2020,6,Sound is frustrating. Plot is frustrating. The macguffin is frustrating.
3291,Steve_Holt_,https://www.imdb.com/review/rw6055093/?ref_=tt_urv,2 September 2020,9,If you didnt get it maybe it's you thats dumb and not the movie
3292,ashkanxfx,https://www.imdb.com/review/rw6020214/?ref_=tt_urv,23 August 2020,7,A Very Good Netflix Film
3293,Britsahil123,https://www.imdb.com/review/rw6049473/?ref_=tt_urv,31 August 2020,9,Convulated and entertaining
3294,seraph66,https://www.imdb.com/review/rw6119790/?ref_=tt_urv,24 September 2020,7,A quick summary
3295,icocade,https://www.imdb.com/review/rw6342050/?ref_=tt_urv,6 December 2020,1,What the...?
3296,macdaddy3598,https://www.imdb.com/review/rw6372063/?ref_=tt_urv,16 December 2020,10,Loved it but had to overcome the audio issue
3297,meijerjordi,https://www.imdb.com/review/rw6030700/?ref_=tt_urv,27 August 2020,7,Sci fi Bond movie that doesn't really make sense
3298,alwynevans,https://www.imdb.com/review/rw6062958/?ref_=tt_urv,4 September 2020,9,A film that is definitely meant to be experienced by everyone.
3299,kia-45299,https://www.imdb.com/review/rw6381296/?ref_=tt_urv,19 December 2020,1,Blahhhhh
3300,gnspda,https://www.imdb.com/review/rw6318845/?ref_=tt_urv,28 November 2020,5,All Christopher Nolan movies are not excellent
3301,krisnadexter,https://www.imdb.com/review/rw6699822/?ref_=tt_urv,16 March 2021,9,Watch This More Than Once
3302,onurmems,https://www.imdb.com/review/rw6598046/?ref_=tt_urv,15 February 2021,4,Nolan worst film to date
3303,Chaznewc,https://www.imdb.com/review/rw6777425/?ref_=tt_urv,4 April 2021,4,One word to describe this movie.
3304,beppe-21867,https://www.imdb.com/review/rw6443586/?ref_=tt_urv,4 January 2021,5,"You must watch two times, at least."
3305,kengher,https://www.imdb.com/review/rw6879724/?ref_=tt_urv,4 May 2021,4,Utterly impossible to follow.
3306,mikeldurango,https://www.imdb.com/review/rw6037030/?ref_=tt_urv,28 August 2020,7,"Good movie, but really confusing."
3307,bulletbling,https://www.imdb.com/review/rw6469873/?ref_=tt_urv,12 January 2021,3,The time travel lovers
3308,CT-782,https://www.imdb.com/review/rw6876557/?ref_=tt_urv,3 May 2021,,just not good
3309,samuelobkr,https://www.imdb.com/review/rw7881626/?ref_=tt_urv,20 February 2022,8,Slick Film
3310,seedoeatreview,https://www.imdb.com/review/rw6084189/?ref_=tt_urv,11 September 2020,5,Looks pretty but its a confusing jumbled mess. Should be called FIVE-ET!
3311,BlizzyFoxTF,https://www.imdb.com/review/rw6087337/?ref_=tt_urv,12 September 2020,6,Dense intellectual Nolan passion project that baffles more than it inspires
3312,cyaramichaels,https://www.imdb.com/review/rw6534974/?ref_=tt_urv,27 January 2021,3,Try harder
3313,beresgabor,https://www.imdb.com/review/rw6019999/?ref_=tt_urv,23 August 2020,2,This is getting old
3314,heno-45762,https://www.imdb.com/review/rw6354979/?ref_=tt_urv,11 December 2020,7,Explained
3315,TygrKat,https://www.imdb.com/review/rw7617394/?ref_=tt_urv,5 December 2021,8,Time-Travel Lite Done Right
3316,sebbthae,https://www.imdb.com/review/rw6055512/?ref_=tt_urv,2 September 2020,1,Waste my time
3317,amansharma-46883,https://www.imdb.com/review/rw6136220/?ref_=tt_urv,30 September 2020,10,It's Nolan's movie..you get that? 😄
3318,jaspotswsw,https://www.imdb.com/review/rw6126245/?ref_=tt_urv,26 September 2020,9,Have to see twice
3319,amrosalah,https://www.imdb.com/review/rw6918937/?ref_=tt_urv,14 May 2021,6,I just cannot review it !
3320,prberg2,https://www.imdb.com/review/rw6456661/?ref_=tt_urv,9 January 2021,8,Really exciting and heart pounding film
3321,obrechtandreas,https://www.imdb.com/review/rw6546003/?ref_=tt_urv,31 January 2021,10,"People try to downgrade the movie, cause originally it was in the high 8,..s, where it belongs"
3322,lechygodson,https://www.imdb.com/review/rw6468424/?ref_=tt_urv,12 January 2021,1,Editing was quite poor
3323,kariokabrs,https://www.imdb.com/review/rw6470509/?ref_=tt_urv,13 January 2021,5,no sense
3324,rohitgurrala,https://www.imdb.com/review/rw6967678/?ref_=tt_urv,26 May 2021,8,Tenet
3325,mstv-126-623348,https://www.imdb.com/review/rw6459244/?ref_=tt_urv,9 January 2021,2,Falls simply Flat
3326,kmcnamara-18218,https://www.imdb.com/review/rw6098918/?ref_=tt_urv,16 September 2020,4,Not Nolan's best effort
3327,bayleyrw,https://www.imdb.com/review/rw6342176/?ref_=tt_urv,6 December 2020,1,And the point is?
3328,realalexrice,https://www.imdb.com/review/rw7011110/?ref_=tt_urv,8 June 2021,8,I've seen it 3 times.. and I love it
3329,saurabhjb,https://www.imdb.com/review/rw6053245/?ref_=tt_urv,1 September 2020,10,Movies can't get Better than this
3330,lhunt-9,https://www.imdb.com/review/rw6393307/?ref_=tt_urv,24 December 2020,10,Nolan's best since Memento
3331,lexva5,https://www.imdb.com/review/rw6500172/?ref_=tt_urv,18 January 2021,6,"Don't think it, just feel it!"
3332,Razor3505,https://www.imdb.com/review/rw6320747/?ref_=tt_urv,29 November 2020,1,If it wasn't for the pandemic
3333,looney_niki,https://www.imdb.com/review/rw6055208/?ref_=tt_urv,2 September 2020,6,Too complicated
3334,dilanchangela,https://www.imdb.com/review/rw6046039/?ref_=tt_urv,30 August 2020,6,Wha?
3335,ganeshmane,https://www.imdb.com/review/rw6345328/?ref_=tt_urv,7 December 2020,2,Unnecessary complex ...
3336,terminator-mjc,https://www.imdb.com/review/rw6516207/?ref_=tt_urv,23 January 2021,5,It's fair but interesting
3337,maatkare0217,https://www.imdb.com/review/rw7841925/?ref_=tt_urv,6 February 2022,5,Interesting yet boring
3338,arsalanweb,https://www.imdb.com/review/rw7307455/?ref_=tt_urv,4 September 2021,10,"Wait, What The Hell is Going On?"
3339,Mitravnish,https://www.imdb.com/review/rw6397846/?ref_=tt_urv,25 December 2020,1,Plot is awesome but..
3340,mohamedabdalkareem,https://www.imdb.com/review/rw6746304/?ref_=tt_urv,26 March 2021,10,"It is an amazing new idea, but watch it twice."
3341,ivan-oreskovic,https://www.imdb.com/review/rw6059905/?ref_=tt_urv,3 September 2020,6,A-B-C plot
3342,pjpapad,https://www.imdb.com/review/rw6411282/?ref_=tt_urv,27 December 2020,4,"Copy-paste of Inception, old idea, tiring action"
3343,TheProteanGirl,https://www.imdb.com/review/rw6033279/?ref_=tt_urv,28 August 2020,5,Enjoyable but has plotholes
3344,vishalvish-56558,https://www.imdb.com/review/rw6336100/?ref_=tt_urv,4 December 2020,10,OUTSTANDING
3345,karravamanreddy,https://www.imdb.com/review/rw6030156/?ref_=tt_urv,27 August 2020,10,Just sheer ambition to do this kind of film really marvellous like Nolan esque Bond
3346,gavinmcc83,https://www.imdb.com/review/rw6067589/?ref_=tt_urv,6 September 2020,7,Good but not great
3347,mailkarthy,https://www.imdb.com/review/rw6783788/?ref_=tt_urv,5 April 2021,1,Who cares ?
3348,st_hei,https://www.imdb.com/review/rw8159750/?ref_=tt_urv,20 May 2022,7,Confusing but fun to watch
3349,vietttttn,https://www.imdb.com/review/rw6048484/?ref_=tt_urv,31 August 2020,10,This movie is a dream
3350,waeltechnologie,https://www.imdb.com/review/rw6032853/?ref_=tt_urv,28 August 2020,9,Nolan the genuins messing with time again
3351,nigeld-52204,https://www.imdb.com/review/rw6386383/?ref_=tt_urv,21 December 2020,3,not for me
3352,steinmetz-richard,https://www.imdb.com/review/rw6164614/?ref_=tt_urv,10 October 2020,10,Masterpiece. Has to be watched multiple times.
3353,politicidal,https://www.imdb.com/review/rw6655827/?ref_=tt_urv,3 March 2021,8,Complicated but still entertaining science fiction thriller
3354,The_Framewriter,https://www.imdb.com/review/rw6032851/?ref_=tt_urv,28 August 2020,9,"95/100 - Brilliant, baffling and bonkers"
3355,janwingd,https://www.imdb.com/review/rw6070265/?ref_=tt_urv,6 September 2020,,Undescribably underwhelming
3356,aohermida-135-918132,https://www.imdb.com/review/rw6875842/?ref_=tt_urv,3 May 2021,6,"Too much, Nolan..."
3357,ibrahimalmadani,https://www.imdb.com/review/rw6031059/?ref_=tt_urv,27 August 2020,10,The Ultimate Paradox!
3358,Halvo1985,https://www.imdb.com/review/rw7160770/?ref_=tt_urv,25 July 2021,5,Ugh.
3359,emmanuelhenry,https://www.imdb.com/review/rw6060233/?ref_=tt_urv,3 September 2020,9,Tenet a thrilling and exciting cerebral espionage thriller that may not be his best film but is one hell of return to cinemas
3360,ian-39125,https://www.imdb.com/review/rw6276402/?ref_=tt_urv,16 November 2020,6,A cross between a bond movie and inception
3361,kcbctwec,https://www.imdb.com/review/rw6372905/?ref_=tt_urv,17 December 2020,10,A modern masterpiece!!!
3362,doncorejp,https://www.imdb.com/review/rw6859166/?ref_=tt_urv,28 April 2021,10,"""Don't try to figure it out, just feel it"""
3363,ellisummers-69948,https://www.imdb.com/review/rw6059343/?ref_=tt_urv,3 September 2020,2,Block Fruster - Dissapointing Review Part I
3364,valtsuvl,https://www.imdb.com/review/rw6036178/?ref_=tt_urv,28 August 2020,7,Improves towards the ending.
3365,maitreyatamrakar,https://www.imdb.com/review/rw6424637/?ref_=tt_urv,30 December 2020,6,Worth watching twice.
3366,FAJNYFILM,https://www.imdb.com/review/rw6406375/?ref_=tt_urv,26 December 2020,6,So chaotic with big potential
3367,mike4us,https://www.imdb.com/review/rw6557840/?ref_=tt_urv,3 February 2021,8,TENET IS MASTERPIECE
3368,Dibyayan_Chakravorty,https://www.imdb.com/review/rw6388958/?ref_=tt_urv,22 December 2020,7,An Average Film With A Challenging Subject
3369,hamdanhussam,https://www.imdb.com/review/rw6339146/?ref_=tt_urv,5 December 2020,4,very dumb
3370,darkdorn,https://www.imdb.com/review/rw6394590/?ref_=tt_urv,24 December 2020,2,A lot of failures and awful sound!
3371,paulyahoo,https://www.imdb.com/review/rw6385412/?ref_=tt_urv,21 December 2020,2,too long and horrible sound
3372,gandhiaditya,https://www.imdb.com/review/rw6353640/?ref_=tt_urv,10 December 2020,10,TENET!!!!
3373,princesskaur-09596,https://www.imdb.com/review/rw6343026/?ref_=tt_urv,6 December 2020,2,What was this film about
3374,lbowles-48048,https://www.imdb.com/review/rw6378542/?ref_=tt_urv,19 December 2020,1,Horrible
3375,oelsharoud,https://www.imdb.com/review/rw6206970/?ref_=tt_urv,26 October 2020,1,Not easy to understand
3376,drozgurozturk,https://www.imdb.com/review/rw6384489/?ref_=tt_urv,20 December 2020,7,A film needs convincing characters
3377,adamyellin,https://www.imdb.com/review/rw6321896/?ref_=tt_urv,29 November 2020,2,Nolan should stay away from sci-fi
3378,shawn_r_evans,https://www.imdb.com/review/rw6399764/?ref_=tt_urv,25 December 2020,10,Great
3379,google-50032,https://www.imdb.com/review/rw6395931/?ref_=tt_urv,24 December 2020,3,waste of time
3380,CriticFred,https://www.imdb.com/review/rw6417247/?ref_=tt_urv,28 December 2020,10,A film like no other
3381,kelvynchin,https://www.imdb.com/review/rw6043766/?ref_=tt_urv,30 August 2020,6,Over complicated and confusing.
3382,laurencerio-93307,https://www.imdb.com/review/rw6396317/?ref_=tt_urv,25 December 2020,1,Way Over Rated Unstitched Movie
3383,AzizAlskait,https://www.imdb.com/review/rw6030201/?ref_=tt_urv,27 August 2020,1,I don't understand
3384,sunlightsix,https://www.imdb.com/review/rw6188277/?ref_=tt_urv,19 October 2020,7,"Action packed, Interesting subject, but not cohesive, Needs your full attention."
3385,chapplejudith,https://www.imdb.com/review/rw6424155/?ref_=tt_urv,30 December 2020,1,Tried to do too much
3386,abegailherico,https://www.imdb.com/review/rw6413607/?ref_=tt_urv,28 December 2020,1,0/10
3387,vinifernandes,https://www.imdb.com/review/rw7541408/?ref_=tt_urv,12 November 2021,7,"Crazy, confusing and incomprehensible..."
3388,ankepulco,https://www.imdb.com/review/rw6350818/?ref_=tt_urv,9 December 2020,5,Fantastic and not
3389,cavendishi,https://www.imdb.com/review/rw6584859/?ref_=tt_urv,11 February 2021,9,Visual masterpiece
3390,sb-19711,https://www.imdb.com/review/rw6415490/?ref_=tt_urv,28 December 2020,1,Garbage
3391,alejandrosaltof,https://www.imdb.com/review/rw6417900/?ref_=tt_urv,29 December 2020,2,Don't waste your time
3392,veljkobogdanovicofficial,https://www.imdb.com/review/rw6312365/?ref_=tt_urv,26 November 2020,7,"Good, but not even close to Nolan's best."
3393,tporter-84253,https://www.imdb.com/review/rw6465741/?ref_=tt_urv,11 January 2021,2,Either I am dumb or this movies sucks.
3394,springtouch,https://www.imdb.com/review/rw6125549/?ref_=tt_urv,26 September 2020,7,A little disappointing
3395,bilgenur-75983,https://www.imdb.com/review/rw7364175/?ref_=tt_urv,20 September 2021,10,Amazing but not for everyone
3396,farinhanunes,https://www.imdb.com/review/rw6060911/?ref_=tt_urv,4 September 2020,8,The dialogue is so hard to hear!
3397,sabxfad,https://www.imdb.com/review/rw6370255/?ref_=tt_urv,16 December 2020,3,"All concept, no character"
3398,catski34,https://www.imdb.com/review/rw6925205/?ref_=tt_urv,15 May 2021,5,confused!
3399,kabeerthukral,https://www.imdb.com/review/rw6802188/?ref_=tt_urv,11 April 2021,2,Very boring and uninteresting
3400,brendanmcc02,https://www.imdb.com/review/rw6051553/?ref_=tt_urv,31 August 2020,8,Escapist cinema that enraptures and dazzles
3401,andrewzeleno,https://www.imdb.com/review/rw6332311/?ref_=tt_urv,3 December 2020,2,So weak Russians
3402,leohsanchez,https://www.imdb.com/review/rw6346679/?ref_=tt_urv,7 December 2020,5,Nolan in a bad copy of himself
3403,greg-goremykin,https://www.imdb.com/review/rw6331967/?ref_=tt_urv,3 December 2020,7,Too complex for its own good
3404,jakewilkinson12,https://www.imdb.com/review/rw7642376/?ref_=tt_urv,13 December 2021,7,Complex but lacks explanations
3405,silver-rocker,https://www.imdb.com/review/rw6397670/?ref_=tt_urv,25 December 2020,6,A wasted opportunity
3406,big_asapper,https://www.imdb.com/review/rw6716286/?ref_=tt_urv,19 March 2021,9,Great movie
3407,swagathor,https://www.imdb.com/review/rw6684639/?ref_=tt_urv,11 March 2021,3,Two and a half hours of exposition
3408,freidenbergdavid,https://www.imdb.com/review/rw7093764/?ref_=tt_urv,5 July 2021,5,"""don't try to understand it, just feel it""... Or just skip it..."
3409,ronaldo_matrix,https://www.imdb.com/review/rw6335836/?ref_=tt_urv,4 December 2020,9,Not Time but Mind Inversion !!
3410,alexander-lobo,https://www.imdb.com/review/rw6473881/?ref_=tt_urv,14 January 2021,1,"John David Washington and Robert Pattinson are awful alone, together are disgusting!"
3411,waldogrotsky,https://www.imdb.com/review/rw6372204/?ref_=tt_urv,17 December 2020,5,Derivative plot plus a complex timeline equals an unsatisfying film
3412,ksharath1999,https://www.imdb.com/review/rw7194341/?ref_=tt_urv,4 August 2021,6,Versatile Premise Yet Again But Falls Short This Time
3413,chandrabhanusolanki,https://www.imdb.com/review/rw6348583/?ref_=tt_urv,8 December 2020,7,Ruined for those who watched Dark
3414,amdmccormack,https://www.imdb.com/review/rw6066318/?ref_=tt_urv,5 September 2020,9,"Tenet, what does it mean?"
3415,CurbedEnthusiasm,https://www.imdb.com/review/rw6341109/?ref_=tt_urv,6 December 2020,5,A huge misstep for Nolan.
3416,evanescencespko,https://www.imdb.com/review/rw6032801/?ref_=tt_urv,27 August 2020,2,Disappointing
3417,jlharry-51706,https://www.imdb.com/review/rw6519941/?ref_=tt_urv,24 January 2021,1,A headache and a waste of time
3418,charbelelaro,https://www.imdb.com/review/rw7669177/?ref_=tt_urv,22 December 2021,8,I feel like Tenet will drastically improve with multiple viewings
3419,clearblue-08224,https://www.imdb.com/review/rw6323772/?ref_=tt_urv,30 November 2020,3,"Disappointing and frustrating, but with potential."
3420,TheDragonTrader,https://www.imdb.com/review/rw6816825/?ref_=tt_urv,15 April 2021,7,Overshooting an incredible concept
3421,ralfytc,https://www.imdb.com/review/rw6735494/?ref_=tt_urv,23 March 2021,1,What a disaster.
3422,cedricdumler,https://www.imdb.com/review/rw6551776/?ref_=tt_urv,1 February 2021,10,"NOLAN DOES IT AGAIN. A mind-blowing, brain-bending masterpiece!"
3423,AndersSTHLM,https://www.imdb.com/review/rw6321407/?ref_=tt_urv,29 November 2020,10,The most unpredictable movie I have seen in a long time!
3424,asimzb,https://www.imdb.com/review/rw6479370/?ref_=tt_urv,15 January 2021,3,Worst movie
3425,behnoodamiri,https://www.imdb.com/review/rw6336907/?ref_=tt_urv,4 December 2020,5,Major step down for Christopher Nolan
3426,M-Kahla,https://www.imdb.com/review/rw6058156/?ref_=tt_urv,3 September 2020,9,"""Cinema is nothing but that dream shared among the audience"""
3427,russelldurnell,https://www.imdb.com/review/rw6044956/?ref_=tt_urv,30 August 2020,7,Extraordinary concept but Brooks Brothers performance.
3428,neoclone07,https://www.imdb.com/review/rw6323264/?ref_=tt_urv,30 November 2020,6,Nolan outnolaned himself... to a downgrade
3429,tmccracken-52050,https://www.imdb.com/review/rw6430201/?ref_=tt_urv,1 January 2021,3,Incomprehensible
3430,Rickardmovie,https://www.imdb.com/review/rw7891019/?ref_=tt_urv,23 February 2022,10,See it again!
3431,swatibcharan,https://www.imdb.com/review/rw7983199/?ref_=tt_urv,18 March 2022,9,Just over the top.
3432,lucaslw-93145,https://www.imdb.com/review/rw6403344/?ref_=tt_urv,26 December 2020,8,Currently a high 8/10 with subtitles; A good audio mixing and mastering session away from being a low to solid 9/10
3433,DawnTreader777,https://www.imdb.com/review/rw6128669/?ref_=tt_urv,27 September 2020,7,"Great Movie, Great Idea, Great Execution, Flawed Sound"
3434,liamharro,https://www.imdb.com/review/rw6054000/?ref_=tt_urv,1 September 2020,10,Amazing
3435,Ark7754,https://www.imdb.com/review/rw6350127/?ref_=tt_urv,9 December 2020,7,Hmm
3436,zh-09531,https://www.imdb.com/review/rw6052346/?ref_=tt_urv,1 September 2020,9,Nice play
3437,carinnalowther,https://www.imdb.com/review/rw7389634/?ref_=tt_urv,28 September 2021,7,Not for casual viewing
3438,matrixkaestle,https://www.imdb.com/review/rw6051513/?ref_=tt_urv,31 August 2020,8,"No Inception or Interstellar, but a really good movie"
3439,ayubnor-89685,https://www.imdb.com/review/rw6980478/?ref_=tt_urv,30 May 2021,6,I'm kinda torn
3440,aman792-586-935109,https://www.imdb.com/review/rw6022366/?ref_=tt_urv,24 August 2020,10,"Loved it, even though 20% of dialogues went over my head"
3441,daliranipardis,https://www.imdb.com/review/rw6850222/?ref_=tt_urv,25 April 2021,9,Good overall
3442,uttamsarkale,https://www.imdb.com/review/rw6408290/?ref_=tt_urv,27 December 2020,1,Technically mesmerize But frustrating
3443,victorisisimo,https://www.imdb.com/review/rw6735756/?ref_=tt_urv,24 March 2021,10,Absolutely Brilliant
3444,nitola-00741,https://www.imdb.com/review/rw6476025/?ref_=tt_urv,14 January 2021,6,The worst Nolan's movie
3445,curiousgeorgiapeach,https://www.imdb.com/review/rw7000226/?ref_=tt_urv,5 June 2021,8,Denzel and Edward from Twilight at their best!
3446,the_batman_heisenberg,https://www.imdb.com/review/rw7200041/?ref_=tt_urv,6 August 2021,10,UNDERRATED! HAS EXCELLENT CONCEPT
3447,fbvgdfbdgfngfgf,https://www.imdb.com/review/rw6369149/?ref_=tt_urv,15 December 2020,1,What did I watched??
3448,leela77,https://www.imdb.com/review/rw6902916/?ref_=tt_urv,11 May 2021,2,Unrelenting Thought Experiment
3449,sbaroodi,https://www.imdb.com/review/rw6060305/?ref_=tt_urv,4 September 2020,2,Choose your Weapons!
3450,penball4567,https://www.imdb.com/review/rw6053599/?ref_=tt_urv,1 September 2020,9,High Concept - Requires Your Attention
3451,rsaundercook,https://www.imdb.com/review/rw6550089/?ref_=tt_urv,1 February 2021,3,Nolan's worst movie by far
3452,cpoirier37,https://www.imdb.com/review/rw6083386/?ref_=tt_urv,11 September 2020,1,Boring
3453,jaideeptribedi,https://www.imdb.com/review/rw6333793/?ref_=tt_urv,3 December 2020,10,A recursive cross between primer and memento
3454,ryleereiter,https://www.imdb.com/review/rw6331937/?ref_=tt_urv,3 December 2020,6,The Five Year Screenplay
3455,mikedk-64630,https://www.imdb.com/review/rw6029273/?ref_=tt_urv,26 August 2020,10,Quality Film
3456,Bigough13,https://www.imdb.com/review/rw6385288/?ref_=tt_urv,21 December 2020,8,"Good move, 1 weak spot"
3457,juliestack-37713,https://www.imdb.com/review/rw6021134/?ref_=tt_urv,23 August 2020,1,NOT GOOD
3458,ruthburley,https://www.imdb.com/review/rw6894326/?ref_=tt_urv,8 May 2021,6,Too hard to understand
3459,qerjzvdszyavepiovq,https://www.imdb.com/review/rw6031438/?ref_=tt_urv,27 August 2020,10,123
3460,beichen-80481,https://www.imdb.com/review/rw6636869/?ref_=tt_urv,26 February 2021,1,There are no humans here
3461,mid6,https://www.imdb.com/review/rw6780351/?ref_=tt_urv,4 April 2021,10,Great Movie!!
3462,shayne_edmondstone,https://www.imdb.com/review/rw6019409/?ref_=tt_urv,23 August 2020,5,Confusing and lacking explanation
3463,ninabogicevic,https://www.imdb.com/review/rw6633507/?ref_=tt_urv,24 February 2021,1,Awfull
3464,arshdeep-61438,https://www.imdb.com/review/rw6459862/?ref_=tt_urv,10 January 2021,10,A movie with its heart and mind in the right place
